7,アーケード,アーケード
8,アーチ,アーチ
9,アーチスト,アーチスト
10,アート,アート
11,アーム,アーム
12,アーモンド,アーモンド
14,アール,アール
15,愛,アイ
16,アイアン,アイアン
17,愛煙家,アイエンカ
18,相方,アイカタ
20003,相変わらず,アイカワラズ
19,哀願,アイガン
22,愛敬,アイキョウ
23,愛犬,アイケン
24,愛護,アイゴ
25,愛好,アイコウ
26,愛国,アイコク
27,愛国心,アイコクシン
28,合い言葉,アイコトバ
29,挨拶,アイサツ
31,愛車,アイシャ
32,哀愁,アイシュウ
33,相性,アイショウ
34,愛称,アイショウ
35,愛情,アイジョウ
36,愛人,アイジン
37,アイス,アイス
38,合図,アイズ
39,アイスクリーム,アイスクリーム
40,アイスコーヒー,アイスコーヒー
41,アイススケート,アイススケート
43,愛想,アイソ
45,間柄,アイダガラ
46,愛着,アイチャク
50,あいづち,アイヅチ
51,相手,アイテ
52,アイディア,アイディア
56,相手方,アイテカタ
57,相手役,アイテヤク
58,アイデンティティー,アイデンティティー
59,愛読,アイドク
60,アイヌ,アイヌ
61,相乗り,アイノリ
62,相棒,アイボウ
63,合間,アイマ
66,愛用,アイヨウ
67,アイルランド,アイルランド
68,アイロン,アイロン
73,アウト,アウト
74,アウトドア,アウトドア
77,和え物,アエモノ
79,亜鉛,アエン
80,青,アオ
83,青色,アオイロ
85,青信号,アオシンゴウ
86,青空,アオゾラ
87,青葉,アオバ
88,青虫,アオムシ
90,赤,アカ
91,あか,アカ
94,赤色,アカイロ
96,赤血球,アカケッキュウ
97,あかし,アカシ
98,赤字,アカジ
99,赤十字,アカジュウジ
100,赤信号,アカシンゴウ
102,赤ちゃん,アカチャン
104,暁,アカツキ
106,赤身,アカミ
107,赤み,アカミ
109,明かり,アカリ
111,上がり,アガリ
116,明るみ,アカルミ
117,赤ん坊,アカンボウ
118,秋,アキ
119,空き缶,アキカン
120,空き巣,アキス
121,空き地,アキチ
122,秋晴れ,アキバレ
123,空き瓶,アキビン
124,秋祭り,アキマツリ
126,あきらめ,アキラメ
131,悪,アク
132,あく,アク
137,悪意,アクイ
138,悪影響,アクエイキョウ
139,悪事,アクジ
141,アクシデント,アクシデント
142,握手,アクシュ
143,悪臭,アクシュウ
144,悪循環,アクジュンカン
145,アクション,アクション
146,悪性,アクセイ
148,アクセサリー,アクセサリー
149,アクセス,アクセス
150,アクセル,アクセル
151,アクセント,アクセント
152,悪態,アクタイ
154,悪党,アクトウ
155,悪徳,アクトク
156,悪人,アクニン
20005,あくび,アクビ
157,悪魔,アクマ
159,悪夢,アクム
160,悪名,アクメイ
161,悪名高い,アクメイタカイ
162,悪役,アクヤク
163,悪友,アクユウ
164,悪用,アクヨウ
165,握力,アクリョク
166,アクリル,アクリル
170,揚げ,アゲ
168,上げ,アゲ
171,揚げ足,アゲアシ
172,揚げ油,アゲアブラ
173,上げ下ろし,アゲオロシ
174,明け方,アケガタ
175,挙げ句,アゲク
177,上げ下げ,アゲサゲ
178,曙,アケボノ
186,あご,アゴ
187,アコーディオン,アコーディオン
188,憧れ,アコガレ
190,朝,アサ
191,麻,アサ
194,あざ,アザ
196,朝市,アサイチ
197,朝顔,アサガオ
198,朝方,アサガタ
200,朝御飯,アサゴハン
202,浅漬け,アサヅケ
203,あさって,アサッテ
204,朝寝坊,アサネボウ
206,朝晩,アサバン
207,朝日,アサヒ
210,朝夕,アサユウ
212,あさり,アサリ
211,歯振,アサリ
215,脚,アシ
216,味,アジ
217,あじ,アジ
219,アジア,アジア
220,足跡,アシアト
221,足音,アシオト
222,足掛かり,アシガカリ
224,足首,アシクビ
225,足腰,アシコシ
226,アシスタント,アシスタント
227,アシスト,アシスト
228,明日,アシタ
230,味付け,アジツケ
231,足取り,アシドリ
233,足場,アシバ
234,足踏み,アシブミ
235,味見,アジミ
236,足元,アシモト
238,味わい,アジワイ
240,明日,アス
242,小豆,アズキ
244,あずさ,アズサ
245,アスパラガス,アスパラガス
246,汗,アセ
247,焦り,アセリ
252,遊び,アソビ
254,あだ,アダ
255,値,アタイ
261,温かみ,アタタカミ
264,アタック,アタック
266,アダプター,アダプター
267,頭,アタマ
268,頭から,アタマカラ
