0,アーケード,アーケード
1,アーチ,アーチ
2,アーチスト,アーチスト
3,アート,アート
4,アーム,アーム
5,アーモンド,アーモンド
6,アール,アール
7,愛,アイ
8,アイアン,アイアン
9,愛煙家,アイエンカ
10,相方,アイカタ
11,相変わらず,アイカワラズ
12,哀願,アイガン
13,愛敬,アイキョウ
14,愛犬,アイケン
15,愛護,アイゴ
16,愛好,アイコウ
17,愛国,アイコク
18,愛国心,アイコクシン
19,合い言葉,アイコトバ
20,挨拶,アイサツ
21,愛車,アイシャ
22,哀愁,アイシュウ
23,相性,アイショウ
24,愛称,アイショウ
25,愛情,アイジョウ
26,愛人,アイジン
27,アイス,アイス
28,合図,アイズ
29,アイスクリーム,アイスクリーム
30,アイスコーヒー,アイスコーヒー
31,アイススケート,アイススケート
32,愛想,アイソ
33,間柄,アイダガラ
34,愛着,アイチャク
35,あいづち,アイヅチ
36,相手,アイテ
37,アイディア,アイディア
38,相手方,アイテカタ
39,相手役,アイテヤク
40,アイデンティティー,アイデンティティー
41,愛読,アイドク
42,アイヌ,アイヌ
43,相乗り,アイノリ
44,相棒,アイボウ
45,合間,アイマ
46,愛用,アイヨウ
47,アイルランド,アイルランド
48,アイロン,アイロン
49,アウト,アウト
50,アウトドア,アウトドア
51,和え物,アエモノ
52,亜鉛,アエン
53,青,アオ
54,青色,アオイロ
55,青信号,アオシンゴウ
56,青空,アオゾラ
57,青葉,アオバ
58,青虫,アオムシ
59,赤,アカ
60,あか,アカ
61,赤色,アカイロ
62,赤血球,アカケッキュウ
63,あかし,アカシ
64,赤字,アカジ
65,赤十字,アカジュウジ
66,赤信号,アカシンゴウ
67,赤ちゃん,アカチャン
68,暁,アカツキ
69,赤身,アカミ
70,赤み,アカミ
71,明かり,アカリ
72,上がり,アガリ
73,明るみ,アカルミ
74,赤ん坊,アカンボウ
75,秋,アキ
76,空き缶,アキカン
77,空き巣,アキス
78,空き地,アキチ
79,秋晴れ,アキバレ
80,空き瓶,アキビン
81,秋祭り,アキマツリ
82,あきらめ,アキラメ
83,悪,アク
84,あく,アク
85,悪意,アクイ
86,悪影響,アクエイキョウ
87,悪事,アクジ
88,アクシデント,アクシデント
